股票代码,交易日期,开盘价,最高价,最低价,收盘价,昨收价,涨跌额,涨跌幅,成交量（手）,成交额（千元）
000858.SZ,20180920,64.4,64.85,64.03,64.39,64.44,-0.05,-0.0776,164165.71,1056728.297
000858.SZ,20180919,62.99,65.53,62.9,64.44,63.21,1.23,1.9459,411364.31,2653606.009
000858.SZ,20180918,61.62,63.6,61.01,63.21,61.86,1.35,2.1823,263861.24,1647393.657
000858.SZ,20180917,61.4,62.56,61.03,61.86,61.53,0.33,0.5363,235508.59,1458775.764
000858.SZ,20180914,60.45,62.16,59.7,61.53,59.98,1.55,2.5842,294960.29,1800648.312
000858.SZ,20180913,60.39,60.65,58.58,59.98,59.65,0.33,0.5532,206865.36,1232442.1
000858.SZ,20180912,61.0,61.0,59.59,59.65,61.0,-1.35,-2.2131,191607.79,1150744.732
000858.SZ,20180911,60.38,61.35,60.2,61.0,60.38,0.62,1.0268,202919.36,1235001.569
000858.SZ,20180910,60.92,60.96,59.28,60.38,60.77,-0.39,-0.6418,195919.16,1179507.359
000858.SZ,20180907,60.3,61.15,59.8,60.77,59.71,1.06,1.7752,222726.04,1347995.371
000858.SZ,20180906,60.5,61.64,59.18,59.71,60.9,-1.19,-1.954,319221.95,1924316.865
000858.SZ,20180905,62.75,62.75,60.8,60.9,62.77,-1.87,-2.9791,217130.48,1342662.987
000858.SZ,20180904,62.27,62.96,61.6,62.77,61.97,0.8,1.2909,194838.65,1215148.333
000858.SZ,20180903,61.1,62.17,61.09,61.97,61.9,0.07,0.1131,208324.53,1283847.415
000858.SZ,20180831,62.99,62.99,61.63,61.9,63.4,-1.5,-2.3659,244560.55,1517434.104
000858.SZ,20180830,63.7,64.5,63.12,63.4,63.68,-0.28,-0.4397,189692.37,1209290.718
000858.SZ,20180829,64.29,64.51,63.34,63.68,64.3,-0.62,-0.9642,242285.64,1543978.648
000858.SZ,20180828,66.03,66.18,63.97,64.3,65.31,-1.01,-1.5465,390976.78,2527105.908
000858.SZ,20180827,63.1,65.31,63.1,65.31,62.96,2.35,3.7325,340401.26,2198875.203
000858.SZ,20180824,63.9,63.9,62.5,62.96,64.15,-1.19,-1.855,184769.28,1163742.383
000858.SZ,20180823,63.98,64.83,63.18,64.15,63.69,0.46,0.7222,178918.1,1147044.329
000858.SZ,20180822,63.99,64.37,63.28,63.69,64.33,-0.64,-0.9949,147732.68,942536.719
000858.SZ,20180821,62.05,64.66,61.9,64.33,62.03,2.3,3.7079,355392.12,2262787.702
000858.SZ,20180820,60.99,62.15,59.58,62.03,60.61,1.42,2.3428,291249.79,1771847.023
000858.SZ,20180817,61.85,62.3,60.3,60.61,61.15,-0.54,-0.8831,259935.42,1592610.464
000858.SZ,20180816,62.33,63.41,61.14,61.15,63.33,-2.18,-3.4423,308055.73,1913089.768
000858.SZ,20180815,65.11,65.11,63.28,63.33,65.1,-1.77,-2.7189,207112.86,1320142.86
000858.SZ,20180814,64.99,65.92,64.11,65.1,64.41,0.69,1.0713,294337.38,1910064.58
000858.SZ,20180813,65.25,65.25,63.1,64.41,66.05,-1.64,-2.483,365521.37,2343183.704
000858.SZ,20180810,66.26,67.19,65.34,66.05,66.36,-0.31,-0.4671,212833.69,1409830.87
000858.SZ,20180809,64.1,66.5,63.82,66.36,64.44,1.92,2.9795,263990.41,1737604.804
